Cruise Altitude[ft];CruiseMachNumber;BlockFuel[kg];BlockTime[min]
27500;0.55;6271.927688;312.6758134
27500;0.56;6190.405047;308.0072067
27500;0.57;6117.298246;303.5076104
27500;0.58;6051.090266;299.1638741
27500;0.59;5991.227639;294.9682904
27500;0.6;5937.147313;290.9136218
27500;0.61;5888.309014;286.9930725
27500;0.62;5844.197389;283.2002558
27500;0.63;5804.392985;279.52919
27500;0.64;5768.577818;275.9742767
27750;0.64;5768.577818;275.9742767
27750;0.63;5804.392985;279.52919
27750;0.62;5844.197389;283.2002558
27750;0.61;5888.309014;286.9930725
27750;0.6;5937.147313;290.9136218
27750;0.59;5991.227639;294.9682904
27750;0.58;6051.090266;299.163874
27750;0.57;6117.298244;303.5076103
27750;0.56;6190.405046;308.0072067
27750;0.55;6271.927688;312.6758134
27750;0.54;6362.753879;317.5221942
27750;0.53;6462.337182;322.5495303
27750;0.52;6571.193943;327.7677481
27750;0.51;6689.748558;333.1874666
27750;0.5;6818.385869;338.82008
27750;0.49;6959.790281;344.6781912
27750;0.48;7112.493209;350.7745949
27750;0.47;7277.959331;357.1235789
27750;0.46;7457.94043;363.7404584
27750;0.45;7654.484009;370.6416173
28000;0.45;7654.484009;370.6416173
28000;0.46;7457.94043;363.7404584
28000;0.47;7277.959331;357.1235789
28000;0.48;7112.493209;350.7745949
28000;0.49;6959.790281;344.6781912
28000;0.5;6818.385869;338.82008
28000;0.51;6689.748558;333.1874666
28000;0.52;6571.193943;327.7677481
28000;0.53;6462.337182;322.5495303
28000;0.54;6362.753879;317.5221942
28000;0.55;6271.927688;312.6758134
28000;0.56;6190.405047;308.0072067
28000;0.57;6117.298246;303.5076104
28000;0.58;6051.090266;299.1638741
28000;0.59;5991.227639;294.9682904
28000;0.6;5937.147313;290.9136218
28000;0.61;5888.309014;286.9930725
28000;0.62;5844.197389;283.2002558
28000;0.63;5804.392985;279.52919
28000;0.64;5768.577818;275.9742767
28250;0.64;5768.577818;275.9742767
28250;0.63;5804.392985;279.52919
28250;0.62;5844.197389;283.2002558
28250;0.61;5888.309014;286.9930725
28250;0.6;5937.147313;290.9136218
28250;0.59;5991.227639;294.9682904
28250;0.58;6051.090266;299.163874
28250;0.57;6117.298244;303.5076103
28250;0.56;6190.405046;308.0072067
28250;0.55;6271.927688;312.6758134
28250;0.54;6362.753879;317.5221942
28250;0.53;6462.337182;322.5495303
28250;0.52;6571.193943;327.7677481
28250;0.51;6689.748558;333.1874666
28250;0.5;6818.385869;338.82008
28250;0.49;6959.790281;344.6781912
28250;0.48;7112.493209;350.7745949
28250;0.47;7277.959331;357.1235789
28250;0.46;7457.94043;363.7404584
28250;0.45;7654.484009;370.6416173
28500;0.45;7654.484009;370.6416173
28500;0.46;7457.94043;363.7404584
28500;0.47;7277.959331;357.1235789
28500;0.48;7112.493209;350.7745949
28500;0.49;6959.790281;344.6781912
28500;0.5;6818.385869;338.82008
28500;0.51;6689.748558;333.1874666
28500;0.52;6571.193943;327.7677481
28500;0.53;6462.337182;322.5495303
28500;0.54;6362.753879;317.5221942
28500;0.55;6271.927688;312.6758134
28500;0.56;6190.405047;308.0072067
28500;0.57;6117.298246;303.5076104
28500;0.58;6051.090266;299.1638741
28500;0.59;5991.227639;294.9682904
28500;0.6;5937.147313;290.9136218
28500;0.61;5888.309014;286.9930725
28500;0.62;5844.197389;283.2002558
28500;0.63;5804.392985;279.52919
28500;0.64;5768.577818;275.9742767
28750;0.64;5768.577818;275.9742767
28750;0.63;5804.392985;279.52919
28750;0.62;5844.197389;283.2002558
28750;0.61;5888.309014;286.9930725
28750;0.6;5937.147313;290.9136218
28750;0.59;5991.227639;294.9682904
28750;0.58;6051.090266;299.163874
28750;0.57;6117.298244;303.5076103
28750;0.56;6190.405046;308.0072067
28750;0.55;6271.927688;312.6758134
28750;0.54;6362.753879;317.5221942
28750;0.53;6462.337182;322.5495303
28750;0.52;6571.193943;327.7677481
28750;0.51;6689.748558;333.1874666
28750;0.5;6818.385869;338.82008
28750;0.49;6959.790281;344.6781912
28750;0.48;7112.493209;350.7745949
28750;0.47;7277.959331;357.1235789
28750;0.46;7457.94043;363.7404584
28750;0.45;7654.484009;370.6416173
29000;0.45;7452.815447;372.2077701
29000;0.46;7257.024787;365.4813485
29000;0.47;7077.312049;359.0192504
29000;0.48;6911.752686;352.8086459
29000;0.49;6758.662758;346.8369434
29000;0.5;6616.600068;341.0919722
29000;0.51;6489.15816;335.5630776
29000;0.52;6370.720514;330.2386019
29000;0.53;6260.862069;325.1081912
29000;0.54;6159.209526;320.1621232
