Time, Aircraft mass
 122.557767, 19499.574507
 122.559434, 19499.561200
 122.561101, 19499.547892
 122.562767, 19499.534584
 122.564434, 19499.521276
 122.566101, 19499.507969
 122.567767, 19499.494661
 122.569434, 19499.481353
 122.571101, 19499.468045
 122.572767, 19499.454737
 122.574434, 19499.441430
 122.576101, 19499.428120
 122.577767, 19499.414810
 122.579434, 19499.401500
 122.581101, 19499.388190
 122.582767, 19499.374880
 122.584434, 19499.361570
 122.586101, 19499.348260
 122.587767, 19499.334950
 122.589434, 19499.321640
 122.591101, 19499.308330
 122.592767, 19499.295019
 122.594434, 19499.281706
 122.596101, 19499.268394
 122.597767, 19499.255082
 122.599434, 19499.241770
 122.601101, 19499.228458
 122.602767, 19499.215146
 122.604434, 19499.201834
 122.606101, 19499.188522
 122.607767, 19499.175210
 122.609434, 19499.161896
 122.611101, 19499.148581
 122.612767, 19499.135267
 122.614434, 19499.121953
 122.616101, 19499.108639
 122.617767, 19499.095324
 122.619434, 19499.082010
 122.621101, 19499.068696
 122.622767, 19499.055382
 122.624434, 19499.042067
 122.626101, 19499.028751
 122.627767, 19499.015435
 122.629434, 19499.002118
 122.631101, 19498.988802
 122.632767, 19498.975486
 122.634434, 19498.962169
 122.636101, 19498.948853
 122.637767, 19498.935536
 122.639434, 19498.922220
 122.641101, 19498.908904
 122.642767, 19498.895585
 122.644434, 19498.882267
 122.646101, 19498.868948
 122.647767, 19498.855630
 122.649434, 19498.842311
 122.651101, 19498.828993
 122.652767, 19498.815674
 122.654434, 19498.802356
 122.656101, 19498.789037
 122.657767, 19498.775719
 122.659434, 19498.762398
 122.661101, 19498.749077
 122.662767, 19498.735757
 122.664434, 19498.722436
 122.666101, 19498.709115
 122.667767, 19498.695795
 122.669434, 19498.682474
 122.671101, 19498.669153
 122.672767, 19498.655833
 122.674434, 19498.642512
 122.676101, 19498.629189
 122.677767, 19498.615867
 122.679434, 19498.602544
 122.681101, 19498.589221
 122.682767, 19498.575898
 122.684434, 19498.562575
 122.686101, 19498.549252
 122.687767, 19498.535930
 122.689434, 19498.522607
 122.691101, 19498.509284
 122.692767, 19498.495959
 122.694434, 19498.482634
 122.696101, 19498.469309
 122.697767, 19498.455984
 122.699434, 19498.442659
 122.701101, 19498.429334
 122.702767, 19498.416009
 122.704434, 19498.402684
 122.706101, 19498.389359
 122.707767, 19498.376035
 122.709434, 19498.362708
 122.711101, 19498.349381
 122.712767, 19498.336053
 122.714434, 19498.322726
 122.716101, 19498.309399
 122.717767, 19498.296072
 122.719434, 19498.282745
 122.721101, 19498.269418
 122.722767, 19498.256091
 122.724434, 19498.242764
 122.726101, 19498.229435
 122.727767, 19498.216105
 122.729434, 19498.202776
 122.731101, 19498.189447
 122.732767, 19498.176118
 122.734434, 19498.162788
 122.736101, 19498.149459
 122.737767, 19498.136130
 122.739434, 19498.122801
 122.741101, 19498.109471
 122.742767, 19498.096140
 122.744434, 19498.082809
 122.746101, 19498.069478
 122.747767, 19498.056146
 122.749434, 19498.042815
 122.751101, 19498.029483
 122.752767, 19498.016152
 122.754434, 19498.002821
 122.756101, 19497.989489
 122.757767, 19497.976158
 122.759434, 19497.962825
 122.761101, 19497.949491
 122.762767, 19497.936158
 122.764434, 19497.922824
 122.766101, 19497.909491
 122.767767, 19497.896157
 122.769434, 19497.882824
 122.771101, 19497.869490
 122.772767, 19497.856157
 122.774434, 19497.842823
 122.776101, 19497.829488
 122.777767, 19497.816152
 122.779434, 19497.802816
 122.781101, 19497.789481
 122.782767, 19497.776145
 122.784434, 19497.762809
 122.786101, 19497.749474
 122.787767, 19497.736138
 122.789434, 19497.722803
 122.791101, 19497.709467
 122.792767, 19497.696129
 122.794434, 19497.682792
 122.796101, 19497.669454
 122.797767, 19497.656116
 122.799434, 19497.642778
 122.801101, 19497.629440
 122.802767, 19497.616102
 122.804434, 19497.602765
 122.806101, 19497.589427
 122.807767, 19497.576089
 122.809434, 19497.562749
 122.811101, 19497.549409
 122.812767, 19497.536069
 122.814434, 19497.522729
 122.816101, 19497.509389
 122.817767, 19497.496049
 122.819434, 19497.482709
 122.821101, 19497.469370
 122.822767, 19497.456030
 122.824434, 19497.442690
 122.826101, 19497.429348
 122.827767, 19497.416006
 122.829434, 19497.402664
 122.831101, 19497.389321
 122.832767, 19497.375979
 122.834434, 19497.362637
 122.836101, 19497.349295
 122.837767, 19497.335953
 122.839434, 19497.322611
 122.841101, 19497.309269
 122.842767, 19497.295925
 122.844434, 19497.282581
 122.846101, 19497.269236
 122.847767, 19497.255892
 122.849434, 19497.242548
 122.851101, 19497.229204
 122.852767, 19497.215859
 122.854434, 19497.202515
 122.856101, 19497.189171
 122.857767, 19497.175827
 122.859434, 19497.162481
 122.861101, 19497.149134
 122.862767, 19497.135788
 122.864434, 19497.122442
 122.866101, 19497.109095
 122.867767, 19497.095749
 122.869434, 19497.082403
 122.871101, 19497.069056
 122.872767, 19497.055710
 122.874434, 19497.042363
 122.876101, 19497.029015
 122.877767, 19497.015667
 122.879434, 19497.002318
 122.881101, 19496.988970
 122.882767, 19496.975621
 122.884434, 19496.962273
 122.886101, 19496.948924
 122.887767, 19496.935576
 122.889434, 19496.922227
 122.891101, 19496.908879
 122.892767, 19496.895529
 122.894434, 19496.882178
 122.896101, 19496.868827
 122.897767, 19496.855477
 122.899434, 19496.842126
 122.901101, 19496.828776
 122.902767, 19496.815425
 122.904434, 19496.802074
 122.906101, 19496.788724
 122.907767, 19496.775373
 122.909434, 19496.762021
 122.911101, 19496.748668
 122.912767, 19496.735315
 122.914434, 19496.721963
 122.916101, 19496.708610
 122.917767, 19496.695257
 122.919434, 19496.681905
 122.921101, 19496.668552
 122.922767, 19496.655199
 122.924434, 19496.641846
 122.926101, 19496.628492
