Time, Energies
   2.050463, 25402471.595497
   2.050491, 25458361.780559
   2.050518, 25514252.231311
   2.050546, 25570142.947752
   2.050574, 25626033.929883
   2.050602, 25681925.177703
   2.050629, 25737816.691212
   2.050657, 25793708.470410
   2.050685, 25849600.515298
   2.050713, 25905456.535280
   2.050741, 25961305.575154
   2.050768, 26017154.693800
   2.050796, 26073003.891219
   2.050824, 26128853.167410
   2.050852, 26184702.522373
   2.050879, 26240551.956109
   2.050907, 26296401.468617
   2.050935, 26352251.059898
   2.050963, 26408100.729951
   2.050991, 26463945.711296
   2.051018, 26519789.820013
   2.051046, 26575633.983464
   2.051074, 26631478.201650
   2.051102, 26687322.474572
   2.051129, 26743166.802229
   2.051157, 26799011.184621
   2.051185, 26854855.621749
   2.051213, 26910700.113612
   2.051241, 26966544.660210
   2.051268, 27022391.812183
   2.051296, 27078239.527655
   2.051324, 27134087.310456
   2.051352, 27189935.160587
   2.051379, 27245783.078048
   2.051407, 27301631.062838
   2.051435, 27357479.114958
   2.051463, 27413327.234407
   2.051491, 27469175.421186
   2.051518, 27525023.675295
   2.051546, 27580895.740071
   2.051574, 27636772.605961
   2.051602, 27692649.654046
   2.051629, 27748526.884325
   2.051657, 27804404.296799
   2.051685, 27860281.891467
   2.051713, 27916159.668330
   2.051741, 27972037.627387
   2.051768, 28027915.768639
   2.051796, 28083794.092085
   2.051824, 28139662.985848
   2.051852, 28195530.146302
   2.051879, 28251397.443373
   2.051907, 28307264.877061
   2.051935, 28363132.447365
   2.051963, 28419000.154287
   2.051991, 28474867.997826
   2.052018, 28530735.977982
   2.052046, 28586604.094755
   2.052074, 28642472.348145
   2.052102, 28698368.805294
   2.052129, 28754270.990044
   2.052157, 28810173.441910
   2.052185, 28866076.160891
   2.052213, 28921979.146989
   2.052241, 28977882.400203
   2.052268, 29033785.920534
   2.052296, 29089689.707980
   2.052324, 29145593.762543
   2.052352, 29201498.084221
   2.052379, 29257388.056058
   2.052407, 29313275.384499
   2.052435, 29369162.913392
   2.052463, 29425050.642735
   2.052491, 29480938.572529
   2.052518, 29536826.702775
   2.052546, 29592715.033472
   2.052574, 29648603.564619
   2.052602, 29704492.296218
   2.052629, 29760381.228268
   2.052657, 29816270.787593
   2.052685, 29872160.632324
   2.052713, 29928050.679416
   2.052741, 29983940.928869
   2.052768, 30039831.380684
   2.052796, 30095722.034859
   2.052824, 30151612.891397
   2.052852, 30207503.950295
   2.052879, 30263395.211555
   2.052907, 30319286.675176
   2.052935, 30375200.348392
   2.052963, 30431118.602635
   2.052991, 30487037.155920
   2.053018, 30542956.008247
   2.053046, 30598875.159616
   2.053074, 30654794.610026
   2.053102, 30710714.359478
   2.053129, 30766634.407972
   2.053157, 30822554.755508
   2.053185, 30878475.402086
   2.053213, 30934380.078129
   2.053241, 30990281.817325
   2.053268, 31046183.785380
   2.053296, 31102085.982291
   2.053324, 31157988.408061
   2.053352, 31213891.062688
   2.053379, 31269793.946173
   2.053407, 31325697.058516
   2.053435, 31381600.399716
   2.053463, 31437503.969774
   2.053491, 31493412.673707
   2.053518, 31549322.581723
   2.053546, 31605232.739380
   2.053574, 31661143.146679
   2.053602, 31717053.803620
   2.053629, 31772964.710203
   2.053657, 31828875.866428
   2.053685, 31884787.272295
   2.053713, 31940698.927804
   2.053741, 31996610.832955
   2.053768, 32052549.802977
   2.053796, 32108494.352274
   2.053824, 32164439.262858
   2.053852, 32220384.534730
   2.053879, 32276330.167890
