Ground Distance, Angular Velocity
2838.751744,    2.153698
2840.410614,    2.156930
2842.064384,    2.160143
2843.725313,    2.163361
2845.401324,    2.166598
2847.076493,    2.169824
2848.753024,    2.173043
2850.427381,    2.176249
2852.107979,    2.179456
2853.783646,    2.182645
2855.462075,    2.185830
2857.162844,    2.189047
2858.856090,    2.192241
2860.555558,    2.195436
2862.241785,    2.198597
2863.943976,    2.201777
2865.652007,    2.204959
2867.348934,    2.208111
2869.075189,    2.211307
2870.791962,    2.214475
2872.509416,    2.217635
2874.234606,    2.220799
2875.952035,    2.223939
2877.666578,    2.227063
2879.393299,    2.230200
2881.111321,    2.233311
2882.845685,    2.236441
2884.583030,    2.239567
2886.323935,    2.242689
2888.065642,    2.245802
2889.799822,    2.248891
2891.552459,    2.252003
2893.304206,    2.255103
2895.060854,    2.258202
2896.815021,    2.261286
2898.580115,    2.264378
2900.348833,    2.267466
2902.116596,    2.270543
2903.883759,    2.273607
2905.660931,    2.276679
2907.435085,    2.279734
2909.216556,    2.282792
2910.989291,    2.285824
2912.780830,    2.288878
2914.583100,    2.291939
2916.383575,    2.294986
2918.172801,    2.298003
2919.984268,    2.301047
2921.779692,    2.304053
2923.578827,    2.307054
2925.382731,    2.310053
2927.199667,    2.313062
2929.014928,    2.316058
2930.831937,    2.319045
2932.656212,    2.322033
2934.471558,    2.324996
2936.300524,    2.327969
2938.125483,    2.330925
2939.966492,    2.333896
2941.792637,    2.336832
2943.636359,    2.339784
2945.474571,    2.342717
2947.329354,    2.345665
2949.168130,    2.348575
2951.009776,    2.351479
2952.863976,    2.354392
2954.708249,    2.357278
2956.556518,    2.360158
2958.415510,    2.363044
2960.263392,    2.365901
2962.141024,    2.368792
2963.988987,    2.371627
2965.835029,    2.374447
2967.703154,    2.377289
2969.568622,    2.380116
2971.446299,    2.382950
2973.326121,    2.385775
2975.209076,    2.388593
2977.087773,    2.391394
2978.973047,    2.394192
2980.875983,    2.397004
2982.779734,    2.399806
2984.686541,    2.402600
2986.585640,    2.405371
2988.492275,    2.408141
2990.390847,    2.410888
2992.303678,    2.413643
2994.196825,    2.416357
2996.116042,    2.419097
2998.025531,    2.421812
2999.960753,    2.424550
3001.884950,    2.427261
3003.794333,    2.429938
3005.730044,    2.432641
3007.646947,    2.435305
3009.577804,    2.437976
3011.526265,    2.440659
3013.456460,    2.443305
3015.404804,    2.445963
3017.339179,    2.448590
3019.274752,    2.451206
3021.235352,    2.453843
3023.179187,    2.456445
3025.119294,    2.459031
3027.048294,    2.461589
3029.005635,    2.464172
3030.965507,    2.466746
3032.940088,    2.469326
3034.891633,    2.471864
3036.862245,    2.474414
3038.818974,    2.476934
3040.797389,    2.479468
3042.772592,    2.481986
3044.742892,    2.484485
3046.701109,    2.486956
3048.680461,    2.489441
3050.664897,    2.491920
3052.660772,    2.494399
3054.629607,    2.496833
3056.613910,    2.499273
3058.598746,    2.501701
3060.588378,    2.504121
3062.587946,    2.506541
3064.586010,    2.508946
3066.594293,    2.511350
3068.606974,    2.513747
3070.612986,    2.516122
3072.624650,    2.518491
3074.637573,    2.520848
3076.636776,    2.523176
3078.651220,    2.525509
3080.660031,    2.527822
3082.653279,    2.530104
3084.661450,    2.532390
3086.676202,    2.534671
3088.695736,    2.536944
3090.719262,    2.539208
3092.757153,    2.541475
3094.785789,    2.543718
3096.802835,    2.545935
3098.828062,    2.548148
3100.853673,    2.550348
3102.869817,    2.552525
3104.876121,    2.554678
3106.942899,    2.556882
3108.972160,    2.559033
3111.029052,    2.561200
3113.063244,    2.563329
3115.105004,    2.565453
3117.143068,    2.567559
3119.195729,    2.569668
3121.248541,    2.571762
3123.307711,    2.573850
3125.363918,    2.575921
3127.407666,    2.577966
3129.466671,    2.580012
3131.520229,    2.582040
3133.590418,    2.584070
3134.272855,    2.585072
