Ground distance, Fuel used
19193.962580,   32.818192
19212.702784,   32.850374
19231.442987,   32.882557
19250.183191,   32.914739
19268.923394,   32.946921
19287.663597,   32.979104
19306.405793,   33.011291
19325.148159,   33.043478
19343.890525,   33.075665
19362.632891,   33.107853
19381.375257,   33.140040
19400.117623,   33.172227
19418.859989,   33.204415
19437.602354,   33.236602
19456.344720,   33.268790
19475.087086,   33.300977
19493.831371,   33.333169
19512.575819,   33.365361
19531.320267,   33.397553
19550.064715,   33.429746
19568.809163,   33.461938
19587.553612,   33.494130
19606.298060,   33.526323
19625.042508,   33.558515
19643.786956,   33.590707
19662.531404,   33.622900
19681.277888,   33.655097
19700.024545,   33.687294
19718.771202,   33.719491
19737.517859,   33.751689
19756.264516,   33.783886
19775.011173,   33.816083
19793.757830,   33.848280
19812.504487,   33.880478
19831.251143,   33.912675
19849.997800,   33.944872
19868.746826,   33.977074
19887.496053,   34.009277
19906.245280,   34.041479
19924.994507,   34.073682
19943.743735,   34.105884
19962.492962,   34.138086
19981.242189,   34.170289
19999.991416,   34.202491
20018.740643,   34.234693
20037.489871,   34.266896
20056.241302,   34.299103
20074.992922,   34.331310
20093.744541,   34.363518
20112.496160,   34.395725
20131.247780,   34.427932
20149.999399,   34.460140
20168.751019,   34.492347
20187.502638,   34.524555
20206.254258,   34.556762
20225.005877,   34.588969
20243.759638,   34.621181
20262.513581,   34.653394
20281.267524,   34.685606
20300.021467,   34.717819
20318.775411,   34.750031
20337.529354,   34.782244
20356.283297,   34.814456
20375.037240,   34.846668
20393.791184,   34.878881
20412.545127,   34.911093
20431.301175,   34.943310
20450.057402,   34.975528
20468.813629,   35.007745
20487.569856,   35.039962
20506.326083,   35.072180
20525.082310,   35.104397
20543.838537,   35.136615
20562.594764,   35.168832
20581.350991,   35.201049
20600.107218,   35.233267
20618.865487,   35.265489
20637.623929,   35.297711
20656.382372,   35.329933
20675.140814,   35.362156
20693.899257,   35.394378
20712.657699,   35.426600
20731.416142,   35.458823
20750.174584,   35.491045
20768.933027,   35.523267
20787.691469,   35.555490
20806.451922,   35.587717
20825.212547,   35.619944
20843.973171,   35.652171
20862.733796,   35.684399
20881.494420,   35.716626
20900.255045,   35.748853
20919.015670,   35.781081
20937.776294,   35.813308
20956.536919,   35.845535
20975.297543,   35.877763
20994.060127,   35.909994
21012.822878,   35.942227
21031.585628,   35.974459
21050.348379,   36.006691
21069.111130,   36.038923
21087.873881,   36.071156
21106.636631,   36.103388
21125.399382,   36.135620
21144.162133,   36.167852
21162.924884,   36.200085
21181.689694,   36.232321
21200.454679,   36.264558
21219.219665,   36.296796
21237.984650,   36.329033
21256.749636,   36.361270
21275.514621,   36.393507
21294.279607,   36.425744
21313.044592,   36.457982
21331.809578,   36.490219
21350.574563,   36.522456
21369.341931,   36.554698
21388.109502,   36.586940
21406.877073,   36.619182
21425.644643,   36.651424
21444.412214,   36.683667
21463.179785,   36.715909
21481.947356,   36.748151
21500.714926,   36.780393
21519.482497,   36.812635
21538.250068,   36.844878
21557.019846,   36.877124
21575.789812,   36.909372
21594.559779,   36.941619
21613.329745,   36.973866
21632.099711,   37.006113
21650.869677,   37.038360
21669.639643,   37.070608
